# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Thu Oct 12 03:39:53 2017
#
# COLUMN pl_bmassj:      Planet Mass or M*sin(i)[Jupiter mass]
# COLUMN pl_bmassjerr1:  Planet Mass or M*sin(i)Upper Unc. [Jupiter mass]
# COLUMN pl_bmassjerr2:  Planet Mass or M*sin(i)Lower Unc. [Jupiter mass]
# COLUMN pl_bmassjlim:   Planet Mass or M*sin(i)Limit Flag
#
rowid	pl_bmassj	pl_bmassjerr1	pl_bmassjerr2	pl_bmassjlim
544	0.02600			0
545	1.70000	0.10000	-0.10000	0
546	2.40000	0.20000	-0.20000	0
547	2.54000	0.17000	-0.14000	0
548	1.60000			0
549	8.08000	0.10000	-0.10000	0
550	7.60000	3.10000	-3.10000	0
551	1.37300	0.04700	-0.04700	0
552	0.47000	0.06000	-0.06000	0
553	1.80000	0.20000	-0.20000	0
554	0.50000	0.07000	-0.07000	0
555	0.01579	0.00120	-0.00120	0
556	0.03083	0.00409	-0.00390	0
557	0.02171	0.00223	-0.00223	0
558	3.04000	0.68000	-0.68000	0
559	0.70000	0.03000	-0.03000	0
560	0.62000			0
561	1.30000	0.10000	-0.10000	0
562	0.33000			0
563	9.10000			0
564	1.96000	0.12000	-0.12000	0
565	1.75000	0.18000	-0.18000	0
566	0.79000	0.07000	-0.07000	0
567	3.76000	0.17000	-0.17000	0
568	0.22900	0.00800	-0.00800	0
569	0.67500	0.01700	-0.01700	0
570	0.65200	0.05200	-0.05200	0
571	0.69600	0.05900	-0.05900	0
572	2.80200	0.01100	-0.01100	0
573	3.36600	0.07200	-0.07200	0
574	0.34000	0.02000	-0.02000	0
575	0.83900	0.03000	-0.03000	0
576	13.38000	0.39000	-0.39000	0
577	10.70000	0.50000	-0.50000	0
578	10.27000	0.84000	-0.84000	0
579	0.01260	0.00250	-0.00220	0
580	0.02080	0.00350	-0.00310	0
581	0.02990	0.00530	-0.00470	0
582	0.01640	0.00470	-0.00500	0
583	0.02230	0.00820	-0.00820	0
584	4.01000	0.13000	-0.13000	0
585	2.54000	0.74000	-0.74000	0
586	18.37000	0.22000	-0.22000	0
587	1.56000	0.04000	-0.04000	0
588	1.60000	0.10000	-0.10000	0
589	1.82000	0.05000	-0.05000	0
590	2.17000	0.52000	-0.52000	0
591	0.80400	0.07300	-0.07300	0
592	0.04531	0.00787	-0.00755	0
593	0.04420			0
594	2.30000	0.20000	-0.20000	0
595	0.60000	0.12000	-0.04000	0
596	2.49000			0
597	0.58000	0.06000	-0.04000	0
598	1.79000	0.14000	-0.14000	0
599	0.18720			0
600	0.65790			0
601	0.47000			0
602	0.22600	0.01900	-0.01900	0
603	0.07167			0
604	0.35061			0
605	2.37000	0.34000	-0.34000	0
606	2.37000	0.38000	-0.38000	0
607	7.32000	2.36000	-2.36000	0
608	1.47000	0.12000	-0.12000	0
609	0.10500	0.01100	-0.01100	0
610	1.71000	0.20000	-0.20000	0
611	4.95400	0.38900	-0.38900	0
612	1.05000	0.03000	-0.03000	0
613	1.76000	0.07000	-0.07000	0
614	1.15000	0.08000	-0.08000	0
615	5.78000	0.53000	-0.53000	0
616	1.40000			0
617	0.33000	0.03000	-0.03000	0
618	7.60000	0.40000	-0.40000	0
619	6.92000	0.18000	-0.24000	0
620	1.06000	0.08000	-0.08000	0
621	2.51000	0.16000	-0.16000	0
622	2.30000	0.45000	-0.45000	0
623	0.39800			0
624	0.64000	0.05000	-0.05000	0
625	0.44000	0.01000	-0.01000	0
626	1.26000	0.04000	-0.04000	0
627	0.17000	0.03000	-0.03000	0
628	6.00000	0.30000	-0.30000	0
629	2.82000	0.27000	-0.27000	0
630	3.06000	0.22000	-0.20000	0
631	4.85000	10.00000	-3.61000	0
632	1.56000	0.11000	-0.10000	0
633	3.07000	0.35000	-0.35000	0
634	1.86000	0.16000	-0.16000	0
635	0.03210			0
636	0.03710			0
637	0.05700			0
638	6.10000	0.40000	-0.40000	0
639	1.97000	0.18000	-0.18000	0
640	0.29000	0.02300	-0.02300	0
641	3.15000	0.14000	-0.14000	0
642	5.45000	0.37000	-0.37000	0
643	1.87000	0.49000	-0.49000	0
644	3.06000	0.07000	-0.07000	0
645	2.25000	0.12000	-0.12000	0
646	2.25000	0.13000	-0.13000	0
647	1.10300	0.08700	-0.08700	0
648	1.80000	0.06000	-0.06000	0
649	8.06000	0.37000	-0.37000	0
650	1.11000	0.27000	-0.37000	0
651	0.46700	0.04100	-0.04100	0
652	1.15000	0.30000	-0.30000	0
653	2.51000			0
654	0.19700	0.01700	-0.01700	0
655	0.05000	0.01500	-0.01700	0
656	0.02731	0.00164	-0.00160	0
657	0.02473	0.00230	-0.00223	0
658	0.02026	0.00249	-0.00245	0
659	1.34000	0.07000	-0.07000	0
660	3.94000	0.11000	-0.11000	0
661	6.86000	0.71000	-0.71000	0
662	2.70000			0
663	1.30000	0.10000	-0.10000	0
664	1.68100	0.02800	-0.02800	0
665	1.95900	0.04700	-0.04700	0
666	0.39800	0.03500	-0.03500	0
667	0.68000	0.07000	-0.04000	0
668	0.13200	0.01100	-0.01100	0
669	0.01100	0.00200	-0.00200	0
670	1.80000	0.06000	-0.06000	0
671	1.50000			0
672	0.92000	0.10000	-0.10000	0
673	7.00000	1.60000	-1.60000	0
674	14.20000	1.60000	-1.60000	0
675	3.60000	0.70000	-0.70000	0
676	12.40000	0.70000	-0.70000	0
677	1.78000	0.34000	-0.34000	0
678	1.02000	0.61000	-0.28000	0
679	1.78000	0.13000	-0.13000	0
680	8.44000	0.23000	-0.23000	0
681	0.05700	0.00500	-0.00500	0
682	1.11000	0.14000	-0.14000	0
683	3.58000			0
684	0.37000			0
685	0.70000	0.06000	-0.06000	0
686	1.82000	0.17000	-0.17000	0
687	5.00000	2.00000	-2.00000	0
688	1.20000	0.10000	-0.10000	0
689	5.01000	0.61000	-0.44000	0
690	4.60000	0.30000	-0.30000	0
691	0.90000	0.10000	-0.10000	0
692	4.00000			0
693	0.68000	0.18000	-0.18000	0
694	0.02473	0.00230	-0.00230	0
695	1.80000	0.10000	-0.10000	0
696	6.80000	0.50000	-0.50000	0
697	0.50200	0.07000	-0.07000	0
698	0.07900	0.00600	-0.00600	0
699	1.40000	0.10000	-0.10000	0
700	8.20000	0.20000	-0.20000	0
701	1.98000	0.21000	-0.21000	0
702	1.56000	0.08000	-0.08000	0
703	2.68000	0.12000	-0.12000	0
